['87', '15', '181', '182', '399', '45', '995', '227', '154', '152']
['0', '845', '202', '920', '749', '975', '598', '294', '793', '273']
['563', '63', '896', '823', '88', '300', '597', '279', '788', '942']
['773', '142', '234', '127', '540', '765', '379', '415', '835', '372']
['163', '235', '859', '359', '532', '564', '666', '685', '371', '347']
['19', '132', '570', '981', '907', '44', '824', '802', '417', '331']
['965', '509', '332', '117', '825', '909', '333', '559', '503', '651']
['75', '489', '506', '524', '251', '469', '513', '9', '201', '938']
['55', '519', '822', '705', '269', '374', '665', '984', '363', '348']
['340', '499', '183', '929', '504', '7', '351', '567', '481', '409']
['495', '137', '5', '752', '473', '68', '882', '792', '443', '588']
['467', '95', '175', '428', '923', '973', '403', '221', '579', '360']
['477', '988', '170', '284', '393', '556', '692', '915', '29', '319']
['687', '594', '695', '510', '364', '632', '764', '302', '647', '459']
['538', '600', '678', '50', '282', '455', '40', '22', '572', '650']
['100', '161', '720', '661', '110', '93', '215', '283', '145', '10']
['884', '496', '953', '166', '490', '320', '516', '770', '860', '384']
['571', '199', '413', '385', '478', '169', '250', '62', '537', '295']
['960', '439', '361', '253', '422', '928', '954', '326', '578', '900']
['554', '120', '583', '994', '232', '826', '292', '437', '871', '577']
['299', '616', '621', '836', '694', '431', '520', '66', '192', '674']
['881', '846', '118', '591', '798', '983', '328', '184', '998', '480']
['866', '195', '375', '123', '727', '325', '297', '223', '303', '387']
['778', '231', '612', '460', '3', '358', '373', '77', '742', '307']
['955', '966', '962', '876', '104', '252', '449', '502', '337', '659']
['660', '609', '763', '987', '542', '71', '178', '121', '310', '398']
['404', '553', '355', '76', '557', '914', '219', '935', '703', '214']
['655', '49', '211', '369', '654', '850', '186', '733', '653', '57']
['877', '58', '67', '507', '256', '309', '561', '147', '444', '723']
['704', '806', '686', '224', '25', '711', '731', '821', '856', '267']
['902', '216', '853', '457', '958', '344', '262', '271', '200', '780']
['531', '301', '534', '96', '432', '243', '599', '275', '963', '41']
['751', '849', '906', '952', '59', '550', '418', '991', '645', '848']
['862', '156', '549', '105', '605', '874', '165', '18', '630', '113']
['445', '918', '732', '155', '342', '709', '833', '194', '153', '879']
['640', '729', '786', '831', '771', '426', '149', '98', '4', '72']
['313', '115', '614', '316', '191', '691', '198', '903', '843', '103']
['440', '585', '619', '442', '919', '205', '35', '969', '795', '791']
['887', '964', '702', '247', '945', '26', '671', '356', '193', '575']
['596', '670', '568', '746', '863', '629', '289', '837', '322', '842']
['551', '785', '673', '736', '743', '753', '447', '430', '323', '412']
['405', '239', '24', '485', '642', '207', '610', '646', '698', '491']
['750', '114', '707', '989', '810', '930', '463', '701', '293', '530']
['122', '517', '562', '714', '838', '641', '857', '274', '134', '601']
['47', '976', '350', '450', '762', '141', '808', '949', '587', '42']
['982', '728', '8', '939', '894', '885', '693', '880', '868', '151']
['339', '626', '160', '974', '357', '304', '582', '222', '264', '735']
['315', '248', '925', '644', '466', '237', '926', '174', '365', '494']
['2', '558', '512', '217', '1', '972', '97', '168', '173', '254']
['28', '667', '815', '162', '433', '817', '157', '288', '36', '613']
['758', '421', '759', '590', '208', '330', '536', '263', '804', '308']
['854', '465', '807', '812', '53', '241', '649', '476', '425', '349']
['768', '715', '6', '136', '937', '452', '116', '980', '419', '125']
['90', '985', '138', '611', '370', '407', '830', '84', '272', '745']
['427', '535', '451', '970', '891', '172', '392', '389', '889', '65']
['852', '761', '14', '801', '617', '663', '921', '324', '576', '99']
['312', '581', '80', '91', '472', '277', '54', '814', '240', '246']
['895', '255', '523', '453', '606', '546', '245', '888', '102', '947']
['268', '190', '244', '643', '740', '622', '381', '203', '290', '139']
['648', '287', '514', '395', '615', '13', '377', '820', '81', '515']
['144', '79', '46', '872', '338', '834', '406', '716', '498', '893']
['306', '220', '402', '858', '593', '992', '864', '713', '777', '573']
['636', '335', '314', '64', '978', '167', '766', '690', '922', '218']
['188', '383', '688', '747', '522', '560', '261', '681', '130', '718']
['682', '257', '934', '936', '474', '789', '92', '950', '276', '847']
['779', '592', '760', '233', '997', '748', '345', '228', '931', '904']
['131', '107', '910', '390', '33', '441', '586', '545', '706', '291']
['604', '83', '700', '341', '912', '971', '739', '775', '400', '668']
['23', '493', '278', '527', '259', '146', '697', '126', '281', '639']
['696', '111', '767', '492', '726', '298', '396', '526', '886', '957']
['924', '544', '870', '180', '196', '497', '362', '543', '429', '724']
['423', '505', '148', '189', '27', '226', '672', '800', '143', '841']
['230', '12', '354', '908', '17', '329', '285', '948', '51', '816']
['434', '397', '839', '699', '32', '318', '840', '89', '249', '811']
['892', '883', '757', '38', '229', '756', '458', '484', '177', '454']
['977', '140', '721', '999', '438', '128', '321', '828', '60', '730']
['305', '608', '633', '990', '420', '368', '956', '225', '236', '781']
['819', '662', '508', '664', '844', '416', '803', '346', '106', '809']
['927', '951', '456', '70', '624', '867', '382', '774', '675', '738']
['897', '197', '410', '31', '832', '446', '133', '797', '408', '580']
['150', '204', '623', '436', '901', '270', '772', '336', '719', '518']
['528', '37', '940', '311', '391', '657', '414', '529', '890', '20']
['158', '967', '851', '483', '873', '525', '464', '869', '296', '386']
['109', '34', '471', '74', '21', '916', '755', '547', '565', '769']
['212', '327', '411', '796', '213', '468', '620', '39', '784', '48']
['680', '119', '634', '112', '61', '805', '52', '260', '776', '86']
['187', '366', '794', '717', '108', '943', '993', '135', '722', '652']
['448', '334', '941', '78', '658', '875', '625', '238', '424', '603']
['684', '266', '462', '533', '486', '401', '500', '124', '584', '861']
['790', '595', '913', '85', '185', '635', '741', '30', '677', '394']
['548', '787', '475', '479', '754', '679', '855', '899', '683', '209']
['917', '482', '552', '783', '725', '782', '944', '799', '286', '461']
['708', '946', '744', '541', '539', '435', '712', '734', '265', '818']
['589', '82', '878', '631', '710', '159', '829', '367', '827', '171']
['129', '242', '380', '488', '656', '343', '352', '569', '501', '376']
['898', '470', '911', '69', '511', '638', '164', '737', '56', '979']
['932', '43', '73', '986', '905', '566', '378', '676', '206', '628']
['968', '961', '317', '865', '487', '94', '574', '11', '959', '637']
['353', '618', '602', '388', '521', '101', '933', '280', '179', '16']
['669', '627', '689', '555', '176', '996', '607', '210', '258', '813']
