['184', '39', '16', '96', '673', '361', '332', '439', '572', '499']
['599', '128', '664', '227', '41', '792', '519', '194', '154', '500']
['450', '341', '539', '609', '216', '434', '730', '204', '768', '709']
['334', '455', '255', '641', '617', '273', '551', '505', '525', '478']
['456', '138', '585', '228', '318', '750', '409', '574', '466', '516']
['329', '370', '669', '238', '625', '283', '226', '342', '339', '645']
['183', '469', '321', '71', '705', '501', '43', '479', '320', '697']
['53', '419', '18', '533', '668', '270', '671', '639', '131', '420']
['158', '109', '684', '437', '702', '577', '186', '117', '693', '707']
['760', '593', '177', '372', '294', '793', '798', '100', '175', '74']
['390', '428', '719', '575', '472', '115', '582', '12', '165', '197']
['463', '706', '213', '166', '454', '312', '717', '153', '309', '65']
['475', '558', '511', '527', '603', '616', '411', '588', '777', '395']
['413', '755', '532', '28', '765', '135', '48', '763', '633', '174']
['4', '571', '354', '675', '438', '367', '387', '710', '555', '173']
['628', '222', '93', '725', '683', '239', '473', '137', '726', '170']
['766', '476', '782', '260', '263', '410', '258', '298', '188', '150']
['704', '449', '714', '385', '408', '564', '349', '88', '37', '632']
['666', '52', '630', '192', '540', '249', '155', '653', '230', '289']
['778', '244', '1', '430', '243', '486', '287', '732', '171', '257']
['235', '561', '356', '360', '83', '300', '62', '665', '394', '63']
['556', '547', '677', '607', '507', '550', '21', '417', '373', '231']
['121', '554', '99', '660', '698', '9', '364', '284', '271', '586']
['323', '374', '346', '133', '598', '509', '130', '523', '646', '3']
['91', '497', '708', '378', '674', '569', '198', '49', '739', '445']
['120', '315', '266', '573', '67', '769', '205', '23', '116', '29']
['711', '700', '771', '32', '110', '423', '759', '745', '448', '658']
['406', '557', '670', '64', '740', '248', '467', '747', '667', '78']
['783', '727', '538', '590', '790', '661', '742', '55', '542', '751']
['784', '591', '407', '680', '749', '786', '631', '2', '181', '756']
['322', '676', '796', '347', '508', '259', '17', '325', '25', '642']
['142', '156', '195', '254', '461', '696', '310', '612', '724', '316']
['655', '107', '699', '404', '11', '513', '224', '152', '241', '36']
['127', '654', '685', '159', '72', '14', '597', '496', '297', '452']
['738', '595', '405', '147', '443', '785', '474', '638', '162', '176']
['5', '491', '543', '526', '40', '605', '50', '520', '530', '433']
['245', '493', '453', '447', '353', '691', '487', '640', '264', '451']
['772', '458', '512', '178', '518', '471', '58', '391', '629', '160']
['261', '84', '252', '355', '613', '102', '770', '44', '281', '250']
['212', '161', '0', '546', '741', '566', '149', '427', '524', '517']
['624', '106', '490', '92', '481', '139', '151', '148', '650', '366']
['576', '314', '498', '180', '774', '689', '600', '185', '94', '234']
['136', '626', '30', '656', '247', '383', '758', '187', '424', '744']
['337', '470', '338', '327', '132', '301', '594', '114', '682', '401']
['623', '477', '59', '545', '86', '794', '101', '6', '379', '276']
['68', '267', '77', '781', '701', '791', '649', '217', '544', '657']
['643', '399', '345', '129', '87', '421', '285', '90', '305', '343']
['510', '514', '60', '416', '275', '503', '233', '303', '752', '376']
['344', '692', '578', '269', '302', '382', '621', '69', '602', '215']
['295', '76', '767', '108', '210', '211', '721', '610', '33', '713']
['182', '492', '746', '348', '753', '748', '326', '731', '718', '288']
['535', '167', '775', '79', '515', '75', '369', '415', '737', '729']
['196', '27', '125', '199', '279', '13', '291', '618', '253', '735']
['789', '54', '98', '232', '35', '350', '465', '604', '272', '293']
['494', '485', '208', '7', '246', '690', '436', '31', '606', '412']
['24', '483', '103', '296', '488', '480', '776', '435', '584', '38']
['414', '357', '140', '715', '567', '608', '335', '764', '393', '687']
['762', '365', '164', '265', '143', '386', '637', '464', '529', '502']
['319', '397', '797', '274', '206', '200', '203', '761', '34', '528']
['218', '191', '389', '169', '352', '306', '236', '549', '457', '648']
['459', '81', '562', '61', '757', '553', '219', '190', '622', '45']
['773', '26', '256', '712', '560', '392', '221', '601', '105', '146']
['324', '118', '552', '104', '85', '122', '521', '536', '647', '659']
['734', '223', '596', '168', '754', '619', '144', '482', '403', '8']
['442', '694', '723', '308', '444', '10', '795', '679', '97', '432']
['189', '581', '299', '440', '681', '418', '358', '636', '66', '89']
['570', '743', '126', '80', '429', '651', '534', '579', '468', '311']
['531', '277', '214', '336', '207', '446', '462', '563', '380', '307']
['506', '286', '22', '733', '495', '163', '381', '282', '237', '111']
['788', '220', '688', '113', '678', '388', '56', '292', '695', '441']
['592', '522', '431', '157', '317', '262', '504', '242', '484', '426']
['402', '20', '363', '145', '615', '290', '359', '124', '201', '589']
['780', '351', '614', '95', '620', '728', '703', '19', '787', '634']
['537', '559', '46', '112', '368', '51', '362', '541', '548', '82']
['141', '672', '179', '489', '396', '280', '799', '580', '42', '57']
['400', '268', '328', '225', '47', '331', '251', '240', '333', '565']
['371', '627', '375', '384', '663', '340', '779', '278', '583', '209']
['123', '398', '172', '202', '716', '568', '644', '73', '229', '119']
['635', '587', '377', '736', '134', '422', '193', '425', '686', '70']
['460', '313', '722', '652', '611', '330', '720', '15', '662', '304']
