['316', '597', '70', '457', '620', '376', '682', '218', '0', '608']
['357', '119', '134', '673', '644', '768', '497', '681', '575', '693']
['628', '592', '313', '369', '383', '40', '367', '56', '181', '60']
['114', '590', '748', '275', '675', '15', '101', '34', '46', '212']
['132', '774', '314', '392', '459', '48', '216', '483', '370', '460']
['639', '52', '617', '764', '31', '467', '300', '587', '47', '666']
['512', '289', '223', '143', '225', '788', '655', '586', '566', '191']
['237', '407', '723', '197', '128', '287', '172', '273', '411', '110']
['704', '100', '766', '726', '706', '403', '204', '105', '618', '509']
['784', '446', '637', '570', '26', '463', '792', '740', '351', '770']
['293', '238', '43', '301', '257', '609', '699', '716', '580', '713']
['778', '474', '142', '709', '578', '526', '148', '599', '360', '99']
['559', '437', '272', '700', '146', '227', '246', '462', '228', '104']
['539', '27', '634', '738', '155', '461', '184', '468', '719', '299']
['133', '373', '167', '484', '363', '152', '638', '28', '372', '307']
['710', '724', '349', '205', '59', '186', '254', '136', '328', '103']
['312', '714', '632', '595', '255', '677', '3', '510', '51', '662']
['221', '182', '571', '541', '785', '129', '760', '109', '23', '727']
['787', '54', '67', '302', '436', '239', '496', '565', '574', '613']
['97', '102', '76', '125', '433', '717', '630', '791', '789', '755']
['209', '715', '481', '13', '482', '5', '389', '633', '388', '187']
['516', '427', '417', '337', '140', '319', '797', '567', '444', '763']
['465', '298', '695', '558', '169', '278', '736', '55', '606', '790']
['343', '305', '652', '252', '285', '264', '222', '139', '365', '321']
['243', '445', '643', '10', '642', '371', '193', '584', '684', '471']
['430', '207', '615', '74', '63', '131', '670', '77', '752', '485']
['551', '607', '333', '577', '585', '276', '786', '11', '600', '659']
['159', '749', '108', '506', '428', '598', '735', '353', '550', '220']
['180', '729', '277', '728', '352', '737', '488', '122', '157', '683']
['91', '668', '557', '338', '50', '309', '777', '502', '528', '418']
['656', '776', '194', '495', '661', '545', '347', '701', '489', '596']
['680', '379', '647', '500', '244', '610', '603', '44', '173', '362']
['493', '324', '517', '94', '332', '4', '434', '292', '641', '439']
['549', '326', '499', '651', '286', '163', '189', '780', '366', '711']
['359', '626', '279', '81', '491', '775', '230', '53', '1', '455']
['330', '605', '7', '438', '137', '669', '552', '739', '80', '664']
['625', '697', '153', '399', '318', '340', '454', '355', '25', '751']
['769', '744', '548', '385', '329', '498', '17', '24', '86', '75']
['453', '535', '554', '772', '83', '783', '762', '378', '232', '160']
['199', '425', '234', '38', '57', '731', '421', '602', '69', '420']
['401', '130', '534', '691', '627', '758', '384', '601', '796', '271']
['262', '364', '241', '290', '450', '240', '164', '323', '170', '310']
['646', '473', '746', '692', '721', '9', '346', '653', '560', '381']
['761', '645', '660', '458', '387', '543', '542', '604', '322', '394']
['294', '49', '658', '107', '231', '616', '793', '594', '472', '192']
['798', '508', '505', '168', '514', '443', '480', '242', '490', '449']
['470', '591', '201', '767', '525', '368', '686', '621', '253', '22']
['210', '179', '624', '703', '452', '158', '536', '414', '511', '306']
['261', '419', '295', '183', '612', '718', '648', '281', '35', '269']
['196', '249', '356', '29', '464', '416', '147', '521', '422', '66']
['175', '21', '708', '190', '30', '90', '663', '629', '288', '178']
['687', '750', '544', '263', '32', '678', '165', '507', '529', '41']
['745', '235', '398', '573', '145', '68', '685', '358', '400', '251']
['327', '636', '794', '397', '151', '426', '679', '58', '674', '331']
['106', '688', '315', '335', '779', '141', '93', '325', '382', '89']
['380', '408', '410', '162', '623', '734', '494', '515', '361', '743']
['135', '619', '123', '456', '757', '405', '350', '283', '37', '519']
['413', '487', '92', '72', '18', '523', '492', '447', '265', '377']
['224', '6', '386', '431', '177', '671', '113', '98', '469', '569']
['342', '561', '478', '258', '530', '689', '188', '741', '640', '33']
['39', '477', '583', '236', '217', '284', '117', '654', '250', '440']
['127', '563', '391', '451', '95', '64', '260', '36', '665', '531']
['206', '705', '486', '562', '733', '226', '412', '576', '524', '611']
['540', '71', '747', '582', '799', '622', '564', '96', '742', '672']
['336', '282', '248', '87', '111', '732', '245', '124', '593', '215']
['348', '274', '424', '82', '555', '476', '572', '589', '176', '112']
['73', '423', '126', '441', '12', '712', '233', '341', '200', '268']
['166', '694', '2', '533', '185', '435', '247', '503', '556', '581']
['320', '78', '354', '402', '579', '79', '297', '171', '156', '45']
['527', '19', '657', '588', '415', '475', '537', '396', '88', '702']
['773', '404', '266', '631', '676', '722', '120', '522', '553', '795']
['116', '303', '150', '771', '546', '466', '296', '730', '547', '504']
['85', '291', '62', '259', '195', '20', '138', '198', '339', '513']
['174', '267', '211', '42', '229', '409', '479', '115', '344', '765']
['149', '568', '690', '390', '203', '61', '65', '756', '317', '219']
['429', '650', '208', '16', '375', '442', '720', '214', '374', '520']
['432', '753', '161', '334', '707', '154', '270', '725', '118', '538']
['635', '754', '311', '667', '308', '8', '781', '213', '501', '696']
['345', '395', '649', '14', '121', '144', '518', '448', '782', '759']
['614', '84', '393', '304', '280', '406', '256', '698', '202', '532']
