['101', '432', '311', '243', '118', '316', '38', '236', '464', '497']
['367', '426', '284', '212', '340', '146', '115', '232', '39', '440']
['125', '499', '312', '235', '223', '24', '386', '122', '460', '313']
['317', '15', '105', '72', '189', '81', '412', '91', '422', '342']
['128', '419', '187', '291', '174', '88', '293', '126', '42', '395']
['48', '66', '486', '99', '6', '441', '425', '443', '203', '453']
['244', '238', '17', '60', '388', '256', '431', '363', '78', '252']
['112', '384', '158', '403', '478', '290', '40', '449', '374', '50']
['77', '193', '134', '86', '483', '211', '406', '32', '411', '210']
['28', '186', '65', '400', '5', '278', '70', '254', '64', '97']
['47', '188', '281', '69', '452', '165', '263', '239', '301', '96']
['488', '119', '34', '37', '339', '31', '446', '385', '279', '33']
['332', '490', '285', '144', '141', '214', '461', '221', '410', '286']
['295', '448', '356', '320', '302', '260', '204', '130', '283', '207']
['230', '152', '324', '479', '430', '166', '408', '457', '455', '27']
['228', '475', '253', '116', '469', '117', '247', '467', '51', '344']
['306', '23', '100', '95', '299', '465', '251', '110', '11', '315']
['372', '379', '231', '168', '124', '123', '16', '294', '444', '380']
['245', '240', '303', '94', '102', '13', '275', '215', '56', '305']
['288', '322', '169', '98', '428', '297', '92', '268', '35', '157']
['151', '333', '46', '258', '131', '484', '417', '73', '4', '468']
['350', '262', '163', '246', '137', '103', '450', '59', '413', '496']
['30', '361', '321', '62', '191', '307', '454', '304', '346', '237']
['177', '482', '326', '150', '319', '434', '272', '133', '229', '435']
['445', '12', '495', '216', '463', '265', '154', '58', '325', '371']
['156', '375', '85', '259', '54', '109', '329', '202', '480', '289']
['138', '135', '57', '409', '266', '120', '108', '269', '208', '18']
['381', '136', '84', '155', '349', '255', '474', '143', '145', '20']
['456', '164', '175', '179', '257', '167', '424', '153', '25', '365']
['399', '437', '498', '148', '111', '74', '197', '407', '423', '194']
['180', '447', '209', '485', '233', '405', '184', '487', '370', '355']
['362', '387', '219', '171', '391', '398', '213', '68', '225', '200']
['292', '357', '343', '75', '178', '106', '300', '476', '198', '393']
['36', '308', '190', '383', '41', '205', '345', '44', '331', '182']
['26', '195', '8', '127', '358', '79', '401', '22', '429', '439']
['234', '418', '416', '421', '149', '264', '491', '201', '250', '61']
['364', '53', '76', '277', '52', '83', '1', '80', '147', '104']
['394', '354', '382', '282', '89', '309', '93', '396', '414', '427']
['373', '397', '55', '351', '159', '67', '377', '7', '402', '359']
['185', '113', '162', '360', '390', '353', '3', '87', '458', '227']
['368', '389', '438', '494', '404', '473', '378', '121', '129', '114']
['173', '271', '376', '274', '43', '298', '466', '420', '220', '492']
['369', '296', '140', '49', '222', '328', '29', '82', '10', '310']
['45', '442', '341', '261', '471', '267', '287', '330', '2', '366']
['489', '392', '470', '161', '472', '90', '206', '170', '276', '242']
['224', '436', '335', '107', '337', '181', '249', '176', '451', '327']
['462', '481', '21', '493', '352', '199', '415', '142', '334', '14']
['0', '183', '338', '270', '323', '314', '347', '160', '71', '226']
['217', '273', '139', '280', '132', '9', '318', '196', '433', '218']
['248', '477', '172', '63', '336', '192', '241', '348', '19']
['459']
