['75', '63', '395', '253', '91', '43', '228', '376', '337', '294']
['303', '367', '59', '161', '364', '296', '112', '373', '120', '353']
['266', '129', '206', '193', '62', '302', '24', '170', '235', '131']
['22', '27', '290', '180', '324', '12', '234', '336', '282', '42']
['281', '200', '128', '338', '126', '219', '201', '250', '31', '60']
['97', '7', '344', '162', '366', '299', '276', '245', '208', '49']
['139', '72', '65', '295', '44', '248', '221', '150', '71', '141']
['87', '52', '146', '82', '313', '55', '194', '104', '318', '264']
['121', '125', '259', '13', '377', '309', '275', '342', '90', '227']
['2', '314', '392', '269', '289', '372', '229', '81', '288', '298']
['207', '268', '108', '199', '381', '241', '132', '284', '116', '164']
['166', '225', '137', '77', '233', '148', '322', '304', '316', '169']
['37', '306', '105', '39', '10', '114', '387', '257', '226', '321']
['6', '111', '4', '92', '252', '26', '123', '243', '271', '260']
['197', '357', '204', '50', '331', '16', '362', '359', '195', '103']
['189', '78', '379', '330', '33', '251', '122', '389', '187', '109']
['158', '36', '218', '45', '144', '95', '258', '242', '119', '256']
['291', '147', '212', '371', '15', '317', '8', '98', '222', '184']
['354', '94', '192', '363', '254', '365', '358', '61', '348', '68']
['198', '244', '297', '355', '301', '142', '319', '152', '54', '292']
['286', '156', '368', '154', '386', '117', '124', '238', '47', '30']
['217', '136', '17', '378', '356', '274', '361', '175', '320', '196']
['203', '391', '393', '101', '96', '390', '398', '270', '315', '88']
['277', '211', '174', '261', '399', '326', '29', '159', '263', '231']
['171', '205', '183', '236', '188', '80', '394', '209', '262', '167']
['383', '283', '385', '19', '215', '285', '247', '53', '69', '370']
['224', '267', '382', '41', '369', '300', '155', '310', '360', '220']
['343', '249', '388', '5', '149', '165', '168', '66', '38', '107']
['9', '350', '341', '325', '190', '176', '272', '18', '308', '138']
['375', '213', '177', '76', '100', '102', '0', '311', '118', '160']
['347', '1', '135', '293', '89', '73', '340', '352', '86', '115']
['279', '210', '186', '345', '328', '179', '246', '11', '181', '335']
['351', '202', '396', '48', '140', '70', '74', '384', '58', '21']
['56', '333', '145', '214', '327', '278', '239', '64', '185', '307']
['127', '14', '232', '143', '99', '153', '35', '273', '151', '20']
['134', '130', '157', '255', '240', '79', '216', '57', '265', '182']
['133', '223', '329', '287', '178', '323', '46', '113', '380', '93']
['230', '110', '173', '334', '85', '332', '3', '346', '374', '84']
['28', '339', '25', '106', '397', '191', '40', '32', '280', '237']
['51', '305', '83', '34', '172', '23', '312', '163', '67', '349']
[]
