['0', '136', '176', '146', '117', '6', '164', '133', '119', '157', '178', '112', '177', '173', '129', '97', '74', '99', '163', '124', '39', '76', '174', '83', '26', '149', '116', '78', '110', '168']
['1', '137', '340', '147', '189', '7', '264', '134', '266', '118', '396', '113', '364', '341', '313', '201', '98', '75', '179', '388', '100', '196', '40', '73', '263', '77', '380', '320', '25', '225']
['244', '262', '84', '188', '79', '182', '169', '368', '172', '33', '385', '175', '105', '224', '362', '315', '292', '159', '95', '377', '344', '339', '114', '252', '126', '338', '167', '125', '90', '165']
['304', '34', '375', '325', '106', '323', '148', '170', '249', '243', '158', '96', '287', '160', '127', '38', '392', '277', '197', '91', '269', '132', '87', '245', '138', '66', '331', '161', '241', '166']
['204', '88', '337', '210', '67', '255', '156', '275', '48', '123', '328', '151', '104', '399', '309', '109', '353', '130', '171', '327', '283', '71', '94', '13', '346', '37', '295', '251', '198', '2']
['49', '229', '68', '181', '202', '298', '72', '271', '14', '234', '12', '57', '345', '347', '248', '305', '348', '230', '219', '140', '297', '56', '3', '20', '208', '36', '398', '42', '23', '235']
['200', '386', '270', '394', '321', '279', '108', '288', '81', '29', '152', '185', '371', '207', '205', '86', '11', '212', '184', '356', '61', '231', '366', '143', '191', '199', '92', '250', '154', '93']
['30', '361', '155', '299', '257', '107', '265', '47', '316', '194', '55', '89', '193', '9', '319', '227', '333', '397', '294', '62', '290', '293', '260', '390', '376', '343', '318', '35', '358', '41']
['389', '240', '359', '317', '60', '69', '145', '370', '54', '142', '382', '186', '301', '111', '232', '121', '203', '330', '32', '180', '267', '217', '322', '351', '222', '273', '259', '306', '139', '365']
['120', '215', '226', '280', '374', '268', '369', '329', '367', '393', '115', '238', '360', '242', '21', '192', '342', '19', '135', '162', '349', '247', '310', '282', '350', '128', '218', '187', '65', '50']
['122', '220', '211', '190', '27', '153', '373', '239', '63', '24', '51', '285', '246', '307', '281', '261', '64', '209', '144', '335', '300', '85', '363', '53', '45', '278', '276', '384', '82', '274']
['387', '254', '272', '70', '4', '284', '354', '206', '150', '102', '383', '233', '131', '31', '103', '52', '336', '334', '355', '352', '308', '195', '8', '314', '258', '289', '46', '256', '216', '5']
['286', '10', '101', '381', '379', '28', '221', '22', '291', '253', '326', '214', '58', '312', '223', '311', '213', '80', '296', '16', '391', '395', '302', '15', '183', '18', '236', '357', '372', '324']
['237', '44', '59', '43', '17', '332', '378', '141', '303', '228']
