['138', '193', '159', '61', '471', '232', '476', '89', '42', '263']
['321', '13', '356', '300', '278', '231', '175', '264', '354', '363']
['240', '335', '352', '319', '388', '283', '186', '269', '63', '467']
['36', '306', '465', '456', '436', '435', '56', '257', '296', '327']
['223', '215', '374', '3', '219', '20', '407', '328', '71', '358']
['83', '8', '236', '114', '162', '41', '132', '446', '273', '160']
['474', '109', '489', '183', '115', '99', '333', '325', '477', '134']
['6', '26', '214', '437', '482', '313', '4', '265', '395', '338']
['21', '120', '253', '194', '23', '145', '208', '343', '54', '39']
['37', '14', '65', '79', '221', '337', '171', '244', '243', '292']
['222', '137', '230', '250', '366', '417', '78', '226', '229', '1']
['139', '218', '430', '406', '155', '379', '419', '46', '195', '125']
['486', '64', '284', '2', '377', '107', '251', '386', '91', '256']
['59', '172', '24', '340', '376', '460', '400', '396', '368', '293']
['95', '0', '276', '412', '281', '66', '5', '330', '202', '233']
['151', '475', '490', '334', '286', '16', '22', '205', '129', '498']
['55', '438', '149', '492', '237', '191', '30', '73', '10', '190']
['204', '378', '187', '62', '43', '461', '106', '234', '445', '94']
['385', '302', '455', '88', '344', '103', '111', '389', '167', '341']
['119', '262', '209', '487', '493', '28', '409', '280', '48', '275']
['220', '383', '144', '484', '350', '483', '308', '247', '69', '27']
['310', '312', '453', '50', '345', '228', '470', '259', '249', '443']
['158', '357', '225', '462', '459', '86', '131', '393', '87', '469']
['426', '199', '420', '170', '178', '336', '74', '290', '365', '33']
['425', '380', '359', '29', '311', '143', '128', '271', '288', '7']
['102', '239', '156', '197', '92', '362', '427', '12', '392', '391']
['84', '432', '44', '34', '201', '497', '331', '411', '81', '52']
['494', '152', '161', '47', '270', '404', '164', '268', '116', '440']
['169', '384', '146', '58', '45', '431', '303', '25', '301', '282']
['305', '40', '15', '148', '429', '478', '135', '373', '242', '185']
['451', '255', '279', '442', '468', '323', '304', '110', '216', '184']
['105', '127', '179', '121', '212', '19', '82', '157', '277', '67']
['472', '329', '224', '415', '80', '466', '294', '481', '77', '307']
['168', '434', '246', '394', '360', '464', '196', '188', '274', '398']
['32', '375', '70', '351', '182', '261', '480', '347', '153', '367']
['260', '17', '401', '457', '473', '346', '252', '372', '339', '364']
['402', '452', '428', '491', '322', '272', '126', '267', '210', '203']
['410', '416', '369', '289', '217', '165', '68', '35', '238', '318']
['390', '450', '499', '49', '479', '348', '353', '150', '403', '421']
['11', '235', '72', '299', '174', '130', '454', '53', '295', '309']
['488', '496', '397', '254', '207', '458', '424', '382', '349', '163']
['298', '266', '112', '371', '75', '118', '141', '439', '399', '51']
['211', '285', '444', '206', '463', '100', '248', '60', '181', '422']
['291', '258', '332', '441', '381', '297', '433', '98', '189', '31']
['173', '355', '38', '180', '117', '96', '192', '316', '245', '113']
['18', '140', '101', '227', '485', '124', '413', '97', '166', '241']
['320', '495', '177', '324', '76', '176', '9', '122', '57', '287']
['342', '387', '108', '315', '133', '200', '154', '414', '314', '85']
['448', '123', '449', '361', '104', '93', '317', '142', '90', '408']
['213', '136', '198', '370', '418', '447', '147', '405', '326', '423']
