['0', '2', '4', '14', '15', '18', '11', '12', '13', '16']
['101', '176', '116', '19', '17', '20', '21', '25', '27', '24']
['28', '30', '31', '33', '36', '32', '35', '38', '42', '45']
['37', '39', '46', '40', '41', '43', '44', '48', '47', '51']
['49', '54', '56', '58', '59', '50', '55', '53', '232', '62']
['52', '134', '65', '67', '68', '63', '64', '66', '70', '71']
['303', '133', '275', '153', '72', '73', '74', '75', '78', '77']
['212', '83', '84', '87', '85', '91', '92', '94', '95', '90']
['89', '163', '97', '96', '98', '102', '108', '113', '115', '114']
['278', '193', '117', '118', '111', '112', '119', '121', '124', '122']
['123', '125', '127', '126', '129', '135', '138', '140', '141', '142']
['128', '120', '144', '145', '147', '148', '143', '150', '151', '152']
['154', '155', '156', '157', '158', '160', '161', '165', '166', '167']
['159', '168', '169', '171', '175', '178', '179', '170', '173', '174']
['177', '172', '180', '190', '203', '207', '204', '202', '214', '217']
['271', '209', '208', '245', '213', '216', '219', '225', '223', '224']
['218', '228', '227', '226', '229', '221', '231', '233', '239', '234']
['235', '236', '238', '395', '237', '240', '241', '242', '243', '248']
['272', '249', '244', '247', '251', '253', '254', '256', '258', '252']
['362', '259', '255', '263', '266', '267', '264', '262', '269', '270']
['268', '261', '273', '274', '276', '277', '281', '284', '286', '287']
['279', '288', '282', '283', '280', '350', '294', '296', '297', '298']
['289', '299', '295', '292', '306', '308', '300', '307', '305', '302']
['293', '309', '304', '310', '311', '312', '315', '316', '317', '324']
['318', '326', '328', '329', '322', '325', '332', '334', '337', '331']
['323', '339', '333', '335', '336', '338', '330', '343', '345', '346']
['348', '347', '353', '356', '357', '360', '361', '363', '364', '366']
['359', '352', '367', '368', '365', '372', '377', '374', '375', '376']
['379', '373', '378', '371', '382', '386', '387', '381', '384', '385']
['389', '392', '393', '398', '391', '396', '10', '23', '57', '60']
['397', '82', '88', '100', '110', '131', '146', '183', '186', '196']
['200', '201', '205', '211', '220', '230', '250', '260', '290', '291']
['301', '313', '320', '321', '340', '351', '370', '380', '390', '1']
['5', '7', '9', '26', '34', '69', '79', '81', '93', '103']
['105', '107', '130', '136', '139', '162', '181', '184', '187', '189']
['192', '195', '198', '206', '215', '246', '265', '314', '327', '342']
['349', '355', '369', '388', '399', '3', '8', '29', '76', '86']
['104', '109', '137', '164', '185', '191', '197', '210', '257', '319']
['344', '358', '394', '6', '61', '99', '132', '182', '194', '222']
['341', '383', '22', '106', '188', '285', '80', '199', '149', '354']
