['60', '75', '85', '119', '214', '104', '9', '174', '148', '86']
['219', '81', '159', '202', '6', '27', '80', '64', '83', '243']
['1', '160', '4', '136', '155', '18', '228', '187', '198', '20']
['114', '177', '128', '224', '226', '48', '157', '227', '231', '156']
['111', '122', '107', '91', '76', '222', '96', '39', '186', '25']
['93', '26', '57', '10', '88', '71', '120', '171', '199', '44']
['197', '126', '162', '62', '150', '140', '74', '206', '242', '8']
['164', '35', '124', '176', '212', '195', '213', '33', '235', '42']
['241', '117', '131', '109', '65', '30', '246', '31', '188', '144']
['238', '79', '200', '139', '143', '103', '138', '135', '215', '127']
['12', '145', '230', '78', '161', '77', '40', '51', '0', '239']
['236', '183', '45', '240', '237', '59', '233', '221', '100', '2']
['7', '247', '166', '149', '66', '125', '175', '146', '147', '29']
['204', '116', '248', '178', '163', '232', '218', '154', '36', '208']
['19', '142', '21', '23', '172', '13', '194', '3', '244', '245']
['14', '203', '210', '54', '67', '99', '121', '72', '110', '209']
['68', '55', '73', '22', '97', '173', '207', '112', '24', '130']
['151', '70', '211', '217', '61', '11', '52', '16', '179', '169']
['184', '84', '53', '32', '153', '133', '181', '180', '216', '134']
['185', '118', '220', '94', '34', '5', '58', '132', '89', '92']
['193', '191', '17', '137', '165', '113', '170', '50', '196', '168']
['115', '46', '87', '102', '98', '201', '28', '249', '225', '190']
['82', '41', '38', '205', '43', '167', '95', '123', '141', '15']
['234', '56', '49', '182', '69', '192', '105', '152', '158', '129']
['90', '63', '108', '189', '106', '47', '223', '37', '101', '229']
