['119', '114', '194', '141', '145', '123', '192', '84', '103', '296']
['23', '130', '185', '187', '147', '282', '153', '171', '200', '140']
['158', '189', '205', '164', '260', '111', '52', '230', '299', '283']
['49', '160', '138', '276', '8', '36', '101', '129', '292', '229']
['85', '4', '149', '124', '112', '170', '290', '291', '195', '75']
['7', '3', '175', '222', '139', '82', '86', '249', '184', '90']
['12', '217', '151', '30', '133', '29', '238', '225', '269', '44']
['223', '167', '80', '255', '6', '287', '122', '152', '212', '45']
['61', '241', '226', '143', '197', '131', '181', '108', '53', '297']
['60', '148', '203', '59', '268', '165', '21', '83', '31', '37']
['88', '180', '26', '285', '57', '2', '169', '162', '199', '68']
['55', '193', '132', '266', '72', '231', '155', '93', '250', '279']
['18', '198', '38', '159', '91', '136', '73', '127', '98', '104']
['256', '219', '146', '71', '15', '235', '78', '70', '278', '246']
['5', '125', '16', '271', '13', '17', '11', '9', '202', '211']
['209', '144', '25', '210', '19', '204', '286', '218', '32', '157']
['196', '64', '172', '213', '40', '69', '173', '56', '281', '163']
['284', '50', '233', '168', '237', '135', '54', '97', '62', '190']
['294', '234', '240', '51', '156', '1', '100', '220', '177', '113']
['128', '22', '106', '270', '251', '99', '228', '35', '63', '110']
['183', '298', '10', '264', '150', '239', '207', '186', '179', '87']
['42', '48', '263', '116', '94', '120', '95', '77', '300', '224']
['232', '118', '216', '79', '137', '20', '107', '115', '174', '46']
['277', '259', '105', '58', '280', '214', '41', '245', '76', '267']
['272', '66', '117', '201', '109', '261', '265', '221', '154', '206']
['254', '74', '65', '121', '67', '243', '178', '14', '244', '142']
['102', '252', '236', '39', '215', '81', '227', '24', '289', '28']
['92', '182', '275', '242', '166', '295', '258', '253', '293', '248']
['208', '257', '96', '27', '176', '262', '247', '43', '126', '134']
['288', '188', '89', '274', '34', '33', '161', '47', '191', '273']
