['5', '12', '24', '37', '50', '53', '64', '75', '90', '91']
['107', '111', '127', '132', '145', '155', '161', '171', '185', '200']
['202', '212', '226', '237', '242', '255', '269', '271', '290', '294']
['305', '316', '323', '335', '348', '355', '370', '373', '381', '395']
['404', '411', '421', '435', '446', '455', '467', '479', '489', '494']
['10', '16', '27', '34', '49', '51', '81', '93', '104', '114']
['123', '138', '148', '159', '169', '174', '181', '194', '206', '216']
['238', '249', '251', '265', '274', '281', '300', '302', '312', '328']
['331', '349', '359', '361', '378', '389', '392', '408', '417', '422']
['431', '448', '456', '463', '472', '483', '491', '2', '17', '21']
['33', '48', '55', '66', '79', '84', '124', '137', '153', '168']
['177', '192', '205', '218', '225', '236', '244', '263', '279', '292']
['306', '311', '327', '340', '350', '354', '367', '375', '383', '394']
['414', '428', '437', '450', '459', '466', '480', '485', '1', '13']
['28', '32', '58', '65', '77', '85', '99', '106', '112', '125']
['134', '165', '199', '208', '217', '223', '233', '241', '254', '268']
['280', '286', '304', '319', '360', '391', '402', '413', '423', '444']
['458', '461', '475', '487', '30', '36', '61', '80', '86', '115']
['122', '136', '147', '151', '166', '184', '196', '204', '211', '239']
['247', '256', '264', '278', '297', '313', '324', '336', '368', '390']
['426', '436', '442', '469', '474', '481', '493', '15', '56', '62']
['73', '87', '97', '108', '128', '154', '167', '195', '220', '267']
['277', '283', '299', '308', '315', '334', '351', '364', '379', '385']
['396', '430', '438', '454', '477', '41', '54', '94', '144', '156']
['164', '179', '188', '207', '224', '246', '272', '298', '322', '362']
['380', '445', '470', '486', '11', '22', '31', '46', '60', '67']
['71', '82', '98', '105', '119', '142', '178', '203', '230', '231']
['248', '252', '329', '346', '358', '366', '387', '416', '434', '464']
['476', '14', '25', '38', '113', '135', '143', '189', '209', '275']
['289', '330', '333', '353', '386', '397', '418', '439', '453', '462']
['482', '8', '42', '59', '70', '74', '121', '131', '152', '162']
['175', '214', '228', '258', '307', '321', '393', '419', '451', '490']
['43', '83', '96', '109', '118', '157', '180', '193', '215', '250']
['291', '320', '345', '410', '412', '425', '443', '468', '488', '492']
['44', '89', '186', '210', '221', '243', '260', '266', '276', '295']
['303', '343', '369', '377', '388', '407', '424', '478', '19', '88']
['130', '160', '176', '213', '232', '262', '325', '372', '457', '4']
['18', '63', '78', '100', '120', '129', '170', '219', '253', '270']
['293', '314', '371', '23', '39', '72', '110', '126', '150', '198']
['285', '310', '406', '441', '35', '95', '158', '183', '344', '440']
['452', '495', '9', '52', '69', '117', '141', '163', '172', '227']
['257', '332', '68', '190', '229', '235', '261', '296', '352', '382']
['447', '47', '76', '182', '234', '338', '409', '432', '101', '273']
['287', '342', '401', '337', '240', '363', '3', '6', '7', '259']
['282', '347', '471', '473', '284', '288', '20', '29', '45', '92']
['103', '133', '140', '149', '187', '197', '222', '301', '317', '326']
['341', '357', '374', '384', '399', '403', '415', '427', '433', '460']
['484', '26', '57', '116', '146', '191', '245', '318', '356', '376']
['400', '420', '449', '40', '139', '201', '339', '398', '429', '102']
['309', '405', '173', '465', '365']
