['1', '2', '4', '6', '8', '10', '13', '15', '17', '19']
['11', '22', '24', '26', '28', '30', '33', '35', '37', '39']
['21', '42', '44', '46', '48', '50', '53', '55', '57', '59']
['31', '62', '64', '66', '68', '70', '73', '75', '77', '79']
['41', '82', '84', '86', '88', '90', '93', '95', '97', '99']
['51', '102', '104', '106', '108', '110', '113', '115', '117', '119']
['61', '122', '124', '126', '128', '130', '133', '135', '137', '139']
['71', '142', '144', '146', '148', '150', '153', '155', '157', '159']
['81', '162', '164', '166', '168', '170', '173', '175', '177', '179']
['91', '182', '184', '186', '188', '190', '193', '195', '197', '199']
['101', '202', '204', '206', '208', '210', '213', '215', '217', '219']
['111', '222', '224', '226', '228', '230', '233', '235', '237', '239']
['121', '242', '244', '246', '248', '250', '253', '255', '257', '259']
['131', '262', '264', '266', '268', '270', '273', '275', '277', '279']
['141', '282', '284', '286', '288', '290', '293', '295', '297', '299']
['151', '302', '304', '306', '308', '310', '313', '315', '317', '319']
['161', '322', '324', '326', '328', '330', '333', '335', '337', '339']
['171', '342', '344', '346', '348', '350', '353', '355', '357', '359']
['181', '362', '364', '366', '368', '370', '373', '375', '377', '379']
['191', '382', '384', '386', '388', '390', '393', '395', '397', '399']
['201', '3', '7', '12', '16', '20', '25', '29', '34', '38']
['211', '43', '47', '52', '56', '60', '65', '69', '74', '78']
['221', '83', '87', '92', '96', '100', '105', '109', '114', '118']
['231', '123', '127', '132', '136', '140', '145', '149', '154', '158']
['241', '163', '167', '172', '176', '180', '185', '189', '194', '198']
['251', '203', '207', '212', '216', '220', '225', '229', '234', '238']
['261', '243', '247', '252', '256', '260', '265', '269', '274', '278']
['271', '283', '287', '292', '296', '300', '305', '309', '314', '318']
['281', '323', '327', '332', '336', '340', '345', '349', '354', '358']
['291', '363', '367', '372', '376', '380', '385', '389', '394', '398']
['301', '5', '14', '23', '32', '40', '49', '58', '67', '76']
['311', '85', '94', '103', '112', '120', '129', '138', '147', '156']
['321', '165', '174', '183', '192', '200', '209', '218', '227', '236']
['331', '245', '254', '263', '272', '280', '289', '298', '307', '316']
['341', '325', '334', '343', '352', '360', '369', '378', '387', '396']
['351', '9', '27', '45', '63', '80', '98', '116', '134', '152']
['361', '169', '187', '205', '223', '240', '258', '276', '294', '312']
['371', '329', '347', '365', '383', '18', '54', '89', '125', '160']
['381', '196', '232', '267', '303', '338', '374', '36', '107', '178']
['391', '249', '320', '392', '72', '214', '356', '143', '285']
