['216', '178', '156', '147', '215', '235', '205', '8', '240', '241']
['144', '61', '237', '11', '26', '63', '105', '76', '87', '169']
['83', '132', '55', '126', '98', '53', '184', '79', '202', '115']
['185', '58', '159', '145', '68', '210', '232', '212', '24', '12']
['228', '45', '36', '213', '2', '102', '114', '51', '175', '119']
['39', '21', '38', '3', '65', '54', '41', '124', '66', '23']
['91', '151', '219', '238', '113', '96', '101', '244', '158', '245']
['190', '31', '107', '121', '137', '72', '209', '164', '141', '13']
['220', '173', '139', '0', '227', '70', '150', '60', '236', '59']
['140', '168', '170', '189', '194', '197', '93', '17', '34', '246']
['229', '177', '192', '104', '182', '233', '222', '243', '69', '166']
['138', '129', '28', '4', '221', '127', '195', '47', '40', '174']
['74', '43', '64', '44', '116', '183', '154', '89', '112', '203']
['225', '247', '142', '46', '5', '134', '165', '161', '172', '206']
['20', '200', '85', '57', '14', '75', '208', '71', '211', '49']
['143', '73', '15', '186', '78', '223', '42', '97', '230', '82']
['18', '19', '155', '162', '160', '67', '146', '77', '199', '27']
['25', '62', '7', '181', '217', '171', '191', '16', '29', '103']
['33', '234', '149', '128', '30', '204', '106', '92', '120', '111']
['37', '81', '163', '130', '224', '118', '6', '131', '187', '249']
['135', '207', '179', '193', '1', '125', '198', '180', '153', '50']
['9', '117', '122', '10', '123', '86', '110', '231', '80', '56']
['90', '188', '214', '52', '176', '48', '22', '157', '218', '201']
['152', '133', '108', '94', '32', '109', '84', '239', '148', '100']
['196', '35', '99', '88', '242', '167', '226', '136', '95', '248']
