['0', '3', '85', '4', '91', '218', '6', '14', '22', '35']
['259', '254', '40', '79', '185', '249', '7', '49', '109', '207']
['226', '242', '243', '267', '269', '10', '67', '89', '139', '168']
['223', '274', '16', '31', '58', '87', '101', '188', '194', '220']
['225', '285', '48', '205', '252', '265', '272', '377', '66', '99']
['154', '178', '181', '202', '217', '382', '71', '166', '378', '1']
['2', '8', '56', '93', '98', '172', '179', '262', '59', '136']
['176', '256', '73', '74', '191', '204', '264', '282', '51', '140']
['144', '238', '257', '102', '112', '132', '173', '201', '212', '94']
['222', '12', '32', '18', '157', '234', '241', '283', '296', '23']
['60', '62', '107', '281', '387', '118', '129', '142', '210', '68']
['156', '229', '244', '245', '292', '57', '171', '380', '83', '141']
['193', '386', '187', '228', '289', '21', '27', '104', '153', '160']
['72', '123', '158', '208', '260', '54', '148', '246', '270', '271']
['64', '150', '214', '9', '122', '298', '47', '183', '195', '197']
['291', '164', '227', '277', '43', '88', '96', '287', '15', '114']
['206', '255', '297', '20', '189', '28', '143', '170', '215', '253']
['138', '211', '240', '390', '30', '37', '70', '80', '84', '117']
['167', '393', '39', '82', '151', '186', '383', '46', '119', '103']
['127', '128', '137', '169', '86', '152', '268', '388', '133', '199']
['276', '293', '145', '392', '135', '162', '26', '155', '275', '284']
['11', '224', '13', '130', '235', '61', '248', '261', '42', '52']
['190', '55', '65', '53', '196', '247', '286', '81', '213', '290']
['295', '106', '182', '209', '237', '177', '180', '236', '25', '125']
['232', '273', '163', '33', '38', '159', '192', '63', '115', '50']
['175', '69', '124', '134', '266', '75', '92', '108', '221', '299']
['116', '146', '288', '5', '121', '216', '219', '126', '263', '279']
['105', '120', '258', '110', '231', '230', '17', '200', '19', '278']
['95', '24', '77', '45', '111', '184', '36', '239', '294', '149']
['203', '34', '100', '251', '29', '280', '90', '97', '161', '250']
['233', '76', '165', '147', '131', '198', '41', '44', '78', '113']
['174', '385', '391', '394', '384', '379', '381', '389', '395', '396']
['300', '302', '304', '306', '308', '310', '312', '314', '316', '318']
['320', '322', '324', '326', '328', '330', '332', '334', '336', '338']
['340', '342', '344', '346', '348', '350', '352', '354', '356', '358']
['360', '362', '364', '366', '368', '370', '372', '374', '376', '398']
['301', '305', '309', '313', '317', '321', '325', '329', '333', '337']
['341', '345', '349', '353', '357', '361', '365', '369', '373', '397']
['303', '311', '319', '327', '335', '343', '351', '359', '367', '375']
['307', '323', '339', '355', '371', '315', '347', '399', '331', '363']
