['321', '34', '329', '74', '107', '2', '227', '75', '399', '213']
['11', '14', '258', '104', '307', '372', '232', '16', '401', '146']
['470', '180', '121', '252', '63', '105', '434', '37', '21', '491']
['346', '149', '225', '5', '413', '130', '324', '265', '12', '79']
['350', '178', '152', '377', '220', '1', '291', '201', '458', '177']
['17', '435', '116', '119', '68', '32', '193', '354', '133', '263']
['207', '496', '145', '459', '301', '302', '462', '299', '22', '412']
['326', '486', '115', '468', '410', '91', '348', '30', '421', '327']
['42', '10', '208', '347', '342', '443', '440', '379', '176', '82']
['44', '47', '418', '38', '492', '430', '405', '355', '41', '426']
['432', '179', '52', '322', '334', '15', '272', '151', '185', '28']
['29', '233', '276', '134', '455', '296', '200', '48', '402', '341']
['316', '161', '194', '132', '447', '206', '175', '19', '223', '266']
['123', '67', '423', '456', '415', '166', '144', '499', '62', '35']
['100', '198', '8', '425', '400', '212', '383', '257', '359', '39']
['221', '382', '70', '53', '120', '281', '157', '138', '141', '464']
['247', '56', '450', '331', '55', '343', '317', '386', '164', '27']
['352', '101', '199', '203', '66', '490', '172', '336', '311', '33']
['191', '256', '477', '7', '137', '43', '367', '285', '260', '4']
['269', '59', '25', '184', '196', '488', '238', '278', '197', '234']
['308', '142', '305', '24', '294', '214', '9', '475', '411', '3']
['320', '391', '267', '275', '228', '274', '20', '217', '409', '239']
['54', '89', '442', '251', '124', '429', '159', '64', '224', '420']
['396', '463', '344', '473', '363', '469', '441', '188', '414', '18']
['186', '337', '393', '284', '297', '204', '384', '361', '50', '318']
['106', '427', '153', '210', '216', '315', '444', '65', '422', '404']
['479', '76', '117', '349', '478', '168', '171', '114', '277', '472']
['88', '408', '255', '103', '46', '394', '471', '262', '140', '109']
['309', '495', '158', '387', '392', '118', '407', '231', '436', '375']
['364', '497', '290', '323', '381', '494', '438', '26', '226', '77']
['80', '370', '270', '222', '437', '474', '253', '126', '417', '345']
['45', '215', '448', '129', '295', '241', '87', '243', '480', '368']
['453', '325', '268', '246', '6', '72', '481', '451', '358', '170']
['431', '433', '192', '371', '254', '13', '108', '493', '273', '58']
['219', '304', '465', '248', '90', '96', '113', '369', '467', '314']
['73', '279', '419', '357', '110', '195', '242', '483', '131', '356']
['49', '259', '288', '484', '460', '60', '362', '174', '112', '300']
['162', '298', '398', '156', '31', '389', '139', '498', '385', '99']
['261', '332', '183', '181', '439', '125', '205', '403', '461', '351']
['312', '353', '282', '489', '452', '165', '271', '81', '244', '36']
['235', '93', '264', '445', '160', '500', '95', '339', '335', '150']
['84', '86', '482', '286', '202', '94', '395', '365', '293', '485']
['250', '319', '466', '57', '380', '102', '51', '406', '283', '360']
['340', '187', '390', '169', '303', '209', '211', '40', '376', '92']
['446', '328', '190', '71', '230', '249', '122', '85', '289', '163']
['313', '237', '424', '236', '428', '23', '330', '229', '83', '449']
['310', '306', '240', '155', '378', '245', '127', '397', '287', '154']
['373', '388', '487', '69', '374', '454', '366', '416', '61', '78']
['333', '189', '457', '135', '148', '97', '182', '173', '167', '147']
['338', '280', '128', '218', '111', '136', '292', '143', '476', '98']
